Asteroid_Name,Status,Exclusion_Reason,Taxonomic_Type,Density_Source,Library_Used,RMSE_Fit,Chi2_Reduced,Band_I_Depth,Band_II_Depth,BAR_Approx,Space_Weathering_Slope_S,Space_Weathering_Slope_Err,Grain_Density_gcm3,Grain_Density_Uncertainty,Bulk_Density_gcm3,Bulk_Density_Uncertainty,Macroporosity,Macroporosity_Uncertainty,Macroporosity_Status,Abund_Diopside_HighCa,Err_Diopside_HighCa,P16_Diopside_HighCa,P84_Diopside_HighCa,Abund_Dolomite_Carbonate,Err_Dolomite_Carbonate,P16_Dolomite_Carbonate,P84_Dolomite_Carbonate,Abund_Magnetite_Fe3O4,Err_Magnetite_Fe3O4,P16_Magnetite_Fe3O4,P84_Magnetite_Fe3O4,Abund_Plagioclase_Anorthite,Err_Plagioclase_Anorthite,P16_Plagioclase_Anorthite,P84_Plagioclase_Anorthite,Abund_Clinopyroxene_Augite,Err_Clinopyroxene_Augite,P16_Clinopyroxene_Augite,P84_Clinopyroxene_Augite,Abund_Olivine_Fo90_Mg,Err_Olivine_Fo90_Mg,P16_Olivine_Fo90_Mg,P84_Olivine_Fo90_Mg,Abund_Pigeonite_LowCa,Err_Pigeonite_LowCa,P16_Pigeonite_LowCa,P84_Pigeonite_LowCa,Abund_Orthopyroxene_En86,Err_Orthopyroxene_En86,P16_Orthopyroxene_En86,P84_Orthopyroxene_En86,Abund_Mg_Al_Spinel,Err_Mg_Al_Spinel,P16_Mg_Al_Spinel,P84_Mg_Al_Spinel,Abund_Troilite_FeS,Err_Troilite_FeS,P16_Troilite_FeS,P84_Troilite_FeS,Abund_Olivine_Fa50_Fe,Err_Olivine_Fa50_Fe,P16_Olivine_Fa50_Fe,P84_Olivine_Fa50_Fe,Abund_Iron Powder,Err_Iron Powder,P16_Iron Powder,P84_Iron Powder,Abund_Water_Ice_H2O,Err_Water_Ice_H2O,P16_Water_Ice_H2O,P84_Water_Ice_H2O,Abund_Phyllosilicate_Serpentine,Err_Phyllosilicate_Serpentine,P16_Phyllosilicate_Serpentine,P84_Phyllosilicate_Serpentine,Abund_Carbonaceous_Matrix,Err_Carbonaceous_Matrix,P16_Carbonaceous_Matrix,P84_Carbonaceous_Matrix,Abund_Saponite_Smectite,Err_Saponite_Smectite,P16_Saponite_Smectite,P84_Saponite_Smectite,Abund_Magnesite_Carbonate,Err_Magnesite_Carbonate,P16_Magnesite_Carbonate,P84_Magnesite_Carbonate,Abund_Epsomite_Mg_Sulfate,Err_Epsomite_Mg_Sulfate,P16_Epsomite_Mg_Sulfate,P84_Epsomite_Mg_Sulfate,Abund_Cronstedtite_FePhyllosilicate,Err_Cronstedtite_FePhyllosilicate,P16_Cronstedtite_FePhyllosilicate,P84_Cronstedtite_FePhyllosilicate
433 Eros (A898 PA),Analyzed,None,S,Radar / GM Measurement,Stony/Metallic,0.0006000103675374312,0.9993421199886399,0.15846890233159105,0.05423403574855201,0.3422377195184267,-0.0010039394890385737,0.00021895415382775855,4.489831253687448,0.11429219208682269,2.96,0.0,0.3407324612547553,0.018275134085543137,Valid,0.0,0.0038697426178065965,0.0,0.005858898391429395,0.0,0.038576568305543346,0.032392033775403686,0.11305627727149095,0.23731697160909826,0.013528009633359815,0.2160720571919942,0.24141369128532716,0.0,0.0,0.0,0.0,0.0,0.0018555427982753381,0.0,0.0,0.0,0.000443832883904008,0.0,0.0,0.1339972603708679,0.021530291233115242,0.15158512164569357,0.19009966678940243,0.2963966974404391,0.02288171406764508,0.21923523328761757,0.26145830125238495,0.015005783926949812,0.01789907704437475,0.0,0.03601513302454973,0.0,0.010461672681246545,0.0,0.022257164511781027,0.0,0.003032601637379358,0.0,0.005507738206988052,0.3172832866526449,0.025015184228513343,0.23196351021571782,0.27198449407167313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 Daphne (A856 KA),Excluded,"Featureless spectrum lacking diagnostic absorption bands (Band I depth = 0.0000 < 0.0150, Band II depth = 0.0000 < 0.0150)",Ch,SiMDA Substring Match,N/A,,,,,,,,,,2.03,0.32,,,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 Ausonia (A861 CA),Analyzed,None,Sa,SiMDA Substring Match,Stony/Metallic,0.0006924096040731696,1.0750043418875659,0.11108494731265084,0.05889678141947663,0.5301958802186802,-0.0009939829394165036,0.0002136556505811535,4.3871041518840785,0.07236896030405464,3.46,0.86,0.2113248557105547,0.1507161805618919,Valid,0.0,0.004038707977604956,0.0,0.0,0.010459221876201312,0.025083241349786088,0.0,0.05962683452278223,0.2419516858746391,0.01430217017559252,0.22385851721497593,0.2540838155639936,0.0,0.0,0.0,0.0,0.0,0.0017692185273548875,0.0,0.0,0.0,0.0004366958456151532,0.0,0.0,0.16463873562635026,0.01888900123904186,0.1625264138452873,0.2017480858640729,0.26665008907733206,0.015261175051434357,0.23410272992214362,0.2665905872340303,0.03345152685371672,0.014721502384945294,0.0,0.03199498571480567,0.0,0.008931252267208447,0.0,0.016494776147698547,0.0,0.0036112073001166207,0.0,0.006465323151710696,0.2828487406917606,0.015730176275876053,0.2490558046062812,0.2823234924804047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Astraea (A845 XA),Analyzed,None,S,SiMDA Substring Match,Stony/Metallic,0.0006222071084153998,0.9925396903395036,0.0737472120152114,0.0665801481977647,0.9028157997895786,-0.0010230777275191832,0.0002111661920413927,4.511277703744541,0.11811989812403847,3.45,0.66,0.23524991663972217,0.12927334547488628,Valid,0.0,0.0005432471395015938,0.0,0.0,0.0,0.036384428143272925,0.014860031568568889,0.10556382858139081,0.24307879238606572,0.01582029789923243,0.22055652493730038,0.2444835024454072,0.0,0.0,0.0,0.0,0.0,0.0018081541171479831,0.0,0.0,0.0,0.000456749728668517,0.0,0.0,0.1370229962793124,0.020581396264253492,0.1598816706960908,0.19466927865834255,0.29812936094569265,0.02091999997345338,0.22581393471631134,0.26178423329250017,0.0,0.011594069428019514,0.0,0.02201326402910985,0.0,0.0034298144959893457,0.0,0.0,0.0,0.003560381455141143,0.0,0.006098300156942098,0.3217688503889292,0.024297141978436326,0.23988781422248548,0.2901699579883227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 Cybele (A861 EB),Excluded,"Featureless spectrum lacking diagnostic absorption bands (Band I depth = 0.0128 < 0.0150, Band II depth = 0.0106 < 0.0150)",Xc,SiMDA Substring Match,N/A,,,,,,,,,,1.7,0.52,,,Excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181 Eucharis (A878 CB),Analyzed,None,Xk,SiMDA Substring Match,Primitive/Aqueous (Auto-AIC),0.0005818165210003777,1.0547242391448264,0.03515513297111805,0.004725470284835054,0.13441764787854157,-0.0006934935892604227,0.00011033214849061863,2.3539856661461367,0.004953332541578828,5.46,2.43,,0.5226736447524718,Unconstrained (Measured bulk density exceeds grain density),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21667127922048443,0.0029284563270008225,0.21345169257228114,0.21919324276287336,0.21469574853046566,0.0028784899328766454,0.2122072523461584,0.2176947969889227,0.1917327497501256,0.002848703560058516,0.18878004506078572,0.19421477174609192,0.20053311602521354,0.003221328490806282,0.19752656300633448,0.20336261921424262,0.17636710647371068,0.003050353298453639,0.17347626081557746,0.17924607568773224
3122 Florence (1981 ET3),Analyzed,None,S,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0008520220603348729,0.9339178644212408,0.22616594153118075,0.06933964940148651,0.30658749470431157,-0.0009825821645219,0.00019024427236479663,4.196367312428538,0.12050774350355384,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.0009580644029746318,0.0,0.0,0.09890281994833415,0.03960282359476619,0.005950650801984505,0.10456094634532737,0.2333970042292654,0.014791159562029964,0.22182426037695316,0.2455664432214178,0.0,0.0,0.0,0.0,0.0,0.0021058552008431752,0.0,0.0,0.0,0.0,0.0,0.0,0.1730390789051882,0.019939226085494175,0.16411615718210196,0.1990431987573042,0.239423329628159,0.022818338823814666,0.2243255253911161,0.2698261041570971,0.0,0.009722915101557856,0.0,0.015175566741722659,0.0,0.0044332871219256295,0.0,0.0,0.0,0.0032756701133703535,0.0,0.006098327314278055,0.25523776728905323,0.024022479380388574,0.2382234378739988,0.2910369393119036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194386 (2001 VG5),Analyzed,None,Sq,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0007235519438159516,0.9748124466395909,0.11063866712946913,0.0990495766467403,0.8952528010015947,-0.0011041126283053795,0.00026064440735047354,4.486499385176991,0.0695454773415453,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.0,0.0,0.0,0.0,0.018856307404716256,0.0,0.0,0.25903987529082145,0.017025570794296556,0.2404810859277673,0.27345279967749925,0.0,0.0,0.0,0.0,0.0,0.0013643828023115554,0.0,0.0,0.0,0.00043874155617448324,0.0,0.0,0.16246083166059916,0.020594839293757786,0.15968902166451715,0.20159377544735316,0.27530696651772335,0.013263689435719395,0.2546299292422419,0.27764901501953393,0.0,0.0030161362120124484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004883818774130334,0.0,0.0076742033723911085,0.3031923265308561,0.01486401421647446,0.2803718841267189,0.3052789177664434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3288 Seleucus (1982 DV),Analyzed,None,K,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0008098390579385208,1.0812704322797428,0.13292411235920043,0.015115078138546179,0.11371208631960429,-0.001046329888027625,0.00025537140152581835,4.405783189961933,0.02531020113084308,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.0009532134959015669,0.0,0.0,0.0,0.004942302588409272,0.0,0.0081543849773623,0.2581063633160532,0.00886003245653214,0.24674380475764818,0.2622767085428078,0.0,0.0,0.0,0.0,0.0,0.0016764486315425124,0.0,0.0,0.0,0.0004728335446277829,0.0,0.0,0.18781374141111112,0.011656893325060178,0.1867130451305979,0.20829400643128862,0.2556872146652386,0.005391416942293403,0.24460836104460762,0.25660874092244373,0.022352316356436943,0.010000985508424166,0.011975241180438072,0.03098992549214979,0.0,0.0,0.0,0.0,0.0,0.0037120852182846425,0.0,0.006009421736640202,0.27604036425116013,0.00589117608294449,0.26505195571510554,0.2761622717743288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385186 (1994 AW1),Analyzed,None,Sa,NEOWISE Diameter-Porosity Model,Stony/Metallic,0.0007518797926483004,1.0067403385018676,0.015157205305773025,0.05629522861345981,,-0.001153187738217123,0.00029767309963144034,4.400522130338573,0.02977049080379685,2.8,0.4,,,Not Calculated (Bulk density is a placeholder/model estimate),0.0,0.004928363385654399,0.0,0.0,0.0,0.0031704928857768607,0.0,0.0,0.2581846184810516,0.011017181322542794,0.24673180761039173,0.2660166263791018,0.0,0.0,0.0,0.0,0.0,0.0016442250508334323,0.0,0.0,0.0,0.0006649148758192297,0.0,0.0,0.18834070492668503,0.01207751241231177,0.18498830505509348,0.20820948250173674,0.25490953283595996,0.005535573986493796,0.24523582723101509,0.2543386755869884,0.024451726655509883,0.015350728803185871,0.0,0.037898078098868984,0.0,0.0027597076058633505,0.0,0.0,0.0,0.0034318452304578054,0.0,0.005647610906102086,0.27411341710079357,0.0066236279394177745,0.26139876769348275,0.27460139888008717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
